Main,Topic,Lecture,Tutorial
ggplot,Basic ggplot,topics/ggplot/slide_gg1.html,topics/ggplot/lab_gg1.html
ggplot,Advanced ggplot,topics/ggplot/slide_gg2.html,topics/ggplot/lab_gg2.html
ggplot,PCA plot,,topics/ggplot/lab_pca.html
Quarto,Basic Quarto,topics/Quarto/slide_quarto1.html,topics/Quarto/lab_quarto1.html
Dynamic Plotting,Intro to Dynamic plotting,topics/dynamic_plotting/slide_dynamic_plot1.html,topics/dynamic_plotting/lab_dynamic_plot1.html
Rshiny,Rshiny Part I,topics/Shiny/slide_shiny1.html,topics/Shiny/lab_shiny1.html
Rshiny,Rshiny Part II,topics/Shiny/slide_shiny2.html,topics/Shiny/lab_shiny2.html
